dim,kind,n_samples,distance_pairwise_mean,distance_pairwise_std,distance_pairwise_cv,nn_mean,far_mean,rel_contrast,pca_n_components_90,pca_first_ev,participation_ratio,levina_bickel_id,knn_acc_mean,knn_acc_std
2,gaussian,4000,5.449579272242252,2.856374847861483,0.5241459395609849,0.2350238080473034,14.349609538189998,60.05598261475638,2,0.5344345123784163,1.9905588934840963,2.263257757417409,0.210206508135169,0.018602816385360953
2,uniform,4000,0.5245992963193477,0.24921143272573265,0.4750510236560177,0.016336082042744223,1.0442629052400074,62.92370597231565,2,0.5006811260315918,1.99999628854552,2.212479518093756,1.0,0.0
2,manifold,4000,2.3589428266765498,1.490839857520691,0.6319949091861181,0.08222204206122749,8.401338994514058,101.1786711190889,2,0.8946793086538372,1.232219817593077,2.259942478841329,1.0,0.0
5,gaussian,4000,9.22618096597678,2.9556338403413327,0.3203529012969472,2.1437338564690607,17.647712517167804,7.232231097117304,5,0.24485572424290983,4.934136392518092,5.7355364466177265,0.23548560700876092,0.014605689416669456
5,uniform,4000,0.888585740431816,0.24851640880679707,0.2796763412904064,0.17771197960994425,1.484799545847189,7.355089786890787,5,0.20559790090234106,4.9962232825886055,5.187742230714029,1.0,0.0
5,manifold,4000,4.303738197151016,2.3768715215498073,0.5522806947511925,0.37841434191845796,12.560229342696795,32.19173707587256,2,0.687734502412659,1.8524163991102074,3.7319777384956017,1.0,0.0
10,gaussian,4000,13.501309364420063,3.1359579316631447,0.23227065220261672,5.6495909262894255,22.438182857225364,2.971647354645278,9,0.14896259640588255,9.719045709087483,10.630465712448705,0.2955481852315394,0.014482920664882819
10,uniform,4000,1.2760691560225914,0.24405919188456715,0.19125859341768023,0.5106414371026246,1.9088990021514114,2.7382375644688945,9,0.10649684050810618,9.979592676208297,9.469089179030496,1.0,0.0
10,manifold,4000,6.688759516224459,3.123452641648904,0.4669703902603408,0.7127702884390303,17.041455912798956,22.908763018334852,3,0.5367349164255821,2.482759236223416,3.737489253529563,1.0,0.0
20,gaussian,4000,19.59425448257186,3.2431289187548082,0.1655142797925491,11.101375811417183,30.298121111267154,1.7292221816423083,18,0.11951643738863091,18.070698899595058,18.083085374803836,0.38988297872340427,0.021007168773520303
20,uniform,4000,1.8014684308640254,0.24233544041636487,0.13452105863444705,1.0402080145202457,2.466920600435552,1.3715646928305203,18,0.05548930662646853,19.915850162749365,16.738797634177796,1.0,0.0
20,manifold,4000,10.172392166690425,4.36491424224699,0.42909417674044603,1.1517806776163966,24.988615878044744,20.695637341093914,3,0.492881562548719,2.6324501398261835,3.7263547141569178,1.0,0.0
50,gaussian,4000,31.27002093573984,3.4397997859792735,0.11000311746026942,22.169949835083298,41.02034874363386,0.8502680000980588,44,0.09456514312183792,38.49589923136378,33.28185495997177,0.5205256570713392,0.015553678481007246
50,uniform,4000,2.878806826551347,0.2415027372216533,0.08388987235762546,2.1232718227774696,3.570296961035445,0.6815072487351664,44,0.024310951616185357,49.400692095408914,34.041597737886974,1.0,0.0
50,manifold,4000,16.63688855613986,6.977173321207626,0.4193796993748987,1.8918009702247096,38.90664381440481,19.565928671547013,3,0.38152582086601283,2.9660523286882725,3.7394576115690445,1.0,0.0
100,gaussian,4000,44.21937197852664,3.616635166438321,0.08178847877338906,34.79597040811249,54.5581627949217,0.56794485553999,86,0.0837488501647083,63.39224773351209,49.51667064948208,0.6631645807259074,0.018305437048859882
100,uniform,4000,4.07294410145329,0.24086800566546387,0.05913854933081906,3.326784488066654,4.7605146242722665,0.43096573924414866,88,0.013261325837889366,97.6633598990719,53.11456996921303,1.0,0.0
100,manifold,4000,23.2543183305045,9.790329959787842,0.4210112642581788,2.587026062327622,57.29165141980791,21.145757344346567,3,0.3833478477734446,2.945572610617315,3.7387867837857813,1.0,0.0
